Мойка/Детейлинг,1 категория (седаны),2 категория (Паркетники),"3 категория      (Внедорожники, Минивены)",,Химчистка,,За комплект,,Электрика,,,,
Техническая мойка/бескнотакст/Однафазная,500,600,700,,Химчистка сидений,От 1000 за одно сиденье,кожа от 3000      ткань от 4000 велюр от 5000,,Элекртические работы,1500/час,,Подключение Балки и подобных световых приборов,От 3000
 Двухфазная,1000,1200,1500,,Полная химчистка с разбором,От 12000,,,Диагностика электрики,От 500,,Замена фар ,От 800
Трехфазная,1500,1700,2000,,Углубленная уборка солона,От 6000,,,Установка камеры заднего вида,от 3000,,Установка контурной подсветки,От 6000
Пылесос,500,500,800,,Химчистка дверных карт ,От 2000,,,Установка заднего парктроника,от 3000,,Установка американок,От 3000
Влажная Уборка,500,500,800,,,,,,"Скрытое подключение регистатора, радара",от 1200,,Усановка гудков/ с проводкой,800/3000
Чистка стекол,400,400,600,,,,,,Замена разьема,от 300,,,
Антидождь зеркала,500,500,500,,,,,,Установка птф,от 3000,,,
Антидождь Передняя полусфера,3000,3000,3000,,,,,,Снятие бампера,от 1500,,,
Чистка резины + чернение,500,500,800(Если колеса внедорожные или огромные),,,,,,Установка сигнализации,от 8000,,,
Антибитум вкру,2000,,,,,,,,"Установка маяков, гсм",от 3000,,,
Металлические вкрапления вкруг,2000,,,,,,,,,,,,
Диэлектрическая мойка двигателя,От 4000,,,,,,,,Подключение регистратора от сигнализации,От 1500,,,
Твердый Воск,От 3000,От 3000,От 3000,,,,,,,,,,
Растераемый кварц,1000,1200,1500,,,,,,,,,,
Комплексы,,,,,,,,,,,,,
"Комплекс ""Базовый""        -3фаза           -влажная уборка -пылесос        -стекл",ОТ 2600,,,,,,,,,,,,
"Комплекс ""Базовый +"" -2ф+гидрополимер -влажная уюорка -пылесос      -Чистка резины+чернение",3000,3300,3500,,,,,,,,,,
"Комплекс ""Премиум"" -комплекс базовый     -чистка резины, чернеие        -полироль пластика/кондиционер кожи      -чистка дисков от вкраплений",5000,5500,6000,,,,,,,,,,
"Детейлинг мойка         -Комплекс базовый+кварц  -хичистка кузова, дверных проемов(битум и меттал вкрапления) -Химчистка дисков и колесных арок",6000,6500,7000,,,,,,,,,,
