Дата,Тип работ,Автомобиль,Кто выполнил работу,Услуги,Цена,Оплата,Примечание,,,,,,
05.01.2026,Мойка,Пассат,Савва,ТехМойка,500,9000,,,,,,,
05.01.2026,Электрика,Пассат,Борис,Контурная подсветка,8500,,,,,,,,
05.01.2026,Мойка,Мазда cx5,Богдан,Химчистка кузова,6000,12000,,,,,,,
05.01.2026,Мойка,Мазда cx5,Богдан,Твердый воск,3000,,,,,,,,
05.01.2026,Мойка,Мазда cx5,Богдан,Антидождь,3000,,,,,,,,
05.01.2026,Мойка,MB Е класс,Богдан,Химчистка кузова,6000,7500,,,,,,,
05.01.2026,Мойка,MB Е класс,Богдан,Антидождь,3000,,,,,,,,
05.01.2026,Электрика,Хонда Элюзион,Виталик,Замена ламп салон,500,13200,Аванс 10000,,,,,,
05.01.2026,Продажа,Хонда Элюзион,Виталик,Лампы в салон,2500,,,,,,,,
05.01.2026,Электрика,Хонда Элюзион,Виталик,Ремонт подсветки салона,1000,,,,,,,,
05.01.2026,Электрика,Хонда Элюзион,Борис,Работа с замком право двери,3000,,,,,,,,
05.01.2026,Электрика,Хонда Элюзион,Борис,Работа с зеркалом,1600,,,,,,,,
05.01.2026,Электрика,Хонда Элюзион,Борис,Диагностика сдвижной двери ,800,,,,,,,,
19.01.2026,Электрика,Хонда Элюзион,Савва,переборка зеркала,1500,,,,,,,,
19.01.2026,Электрика,Хонда Элюзион,Виталик,переборка зеркала,1500,,,,,,,,
19.01.2026,Электрика,Хонда Элюзион,Савва,замена зеркала,800,,,,,,,,
05.01.2026,Электрика,Форд куга,Борис,"Вскрытие и продувка мозгов, чистка масс",3000,3000,,,,,,,
06.01.2026,Мойка,Хаммер,Савва,двухфазная мойка,2000,5500,,,,,,,
06.01.2026,Электрика,Хаммер,Борис,Установка магнитолы,3000,,,,,,,,
06.01.2026,Электрика,Хаммер,Виталик,Установка радара,500,,,,,,,,
06.01.2026,Мойка,Газель,Савва,двухфазная мойка,2000,9000,,,,,,,
06.01.2026,Мойка,Газель,Савва,Химчистка салона,7000,,,,,,,,
08.01.2026,Мойка,элантра,Богдан,двухфаз,1000,28450,,,,,,,
08.01.2026,Электрика,элантра,Виталик,Установка сигнализации,27450,,,,,,,,
08.01.2026,Мойка,субару,Богдан,тех мойка ,500,3600,,,,,,,
08.01.2026,Электрика,субару,Борис,работам с камерой , ,,,,,,,,
08.01.2026,Электрика,субару,Борис,работа с блютузом,800,,,,,,,,
09.01.2026,Мойка,гольф ваня,Богдан,трехфаз,1500,1000,,,,,,,
09.01.2026,Мойка,транспортер,Богдан,однофаз,700,700,,,,,,,
09.01.2026,Мойка,мазда 6,Богдан,трехфаз,1500,3100,,,,,,,
09.01.2026,Электрика,мазда 7,Виталик,камера+прикуриватель,1600,,,,,,,,
09.01.2026,Электрика,логан,Савва,техмойка,500,5000,,,,,,,
